fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.04898,0.05,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.1598,0.03517,0.00847,0.88841,0.00055,2.40344,0.72777,5.03701,0.39093,1.30958,0.015,0.7,0.35137,0.0,0.12725,0.5,0.0,0.0,0.0,0.4952,0.0,0.67133,0.0,0.0
0.12268,0.03517,0.00862,0.88607,0.00048,1.86345,0.72044,6.80269,0.40568,1.12306,0.01721,0.66455,0.30265,0.0,0.09574,0.56139,0.0,0.0,0.0,0.37881,0.0,0.66776,0.0,0.0
0.15772,0.03517,0.00852,0.89536,0.00071,2.13441,0.74588,4.59256,0.32793,1.33234,0.015,0.625,0.42402,0.0,0.12725,0.46877,0.0,0.0,0.0,0.41521,0.0,0.73977,0.0,0.0
0.21784,0.03152,0.00852,0.89536,0.00081,2.13441,0.91145,4.88554,0.32793,1.33234,0.01376,0.63167,0.44513,0.0,0.14791,0.46877,0.0,0.0,0.0,0.41521,0.0,0.73977,0.0,0.0
0.04043,0.04161,0.0068,0.84925,0.00038,1.87452,0.6799,7.98137,0.47474,1.14586,0.01721,0.79803,0.31499,0.0,0.08285,0.51285,0.0,0.0,0.0,0.37881,0.0,0.5872,0.0,0.0
0.15623,0.03588,0.00753,0.82618,0.00058,2.40344,0.71654,6.25039,0.39093,1.34418,0.01601,0.7,0.35137,0.0,0.14527,0.28347,0.0,0.0,0.0,0.5938,0.0,0.62245,0.0,0.0
0.26576,0.02806,0.0087,0.91999,0.00079,1.79013,0.91145,4.76293,0.34602,1.31613,0.01446,0.72521,0.44513,0.0,0.14791,0.41067,0.0,0.0,0.0,0.35094,0.0,0.86814,0.0,0.0
0.23272,0.02642,0.00852,0.85817,0.00064,2.13441,0.95,5.5196,0.33974,1.33234,0.01547,0.68443,0.44513,0.0,0.18242,0.49823,0.0,0.0,0.0,0.41678,0.0,0.52647,0.0,0.0
0.24838,0.02806,0.00929,0.91999,0.00084,1.74318,0.95,4.34297,0.36563,1.2601,0.01395,0.79691,0.50076,0.0,0.1618,0.34702,0.0,0.0,0.0,0.41743,0.0,0.86814,0.0,0.0
0.23676,0.02642,0.00852,0.85215,0.00064,2.13441,0.95,5.71242,0.32866,1.24932,0.01493,0.67408,0.44513,0.0,0.18242,0.49823,0.0,0.0,0.0,0.41678,0.0,0.50709,0.0,0.0
0.21484,0.02557,0.00916,0.85499,0.00076,2.08568,0.95,6.46561,0.29512,1.51411,0.01279,0.76144,0.47219,0.0,0.16177,0.49823,0.0,0.0,0.0,0.49468,0.0,0.36982,0.0,0.0
0.29619,0.02198,0.0091,0.93628,0.001,1.74318,0.95,4.52473,0.34227,1.33696,0.01577,0.70718,0.37018,0.0,0.15896,0.38541,0.0,0.0,0.0,0.41239,0.0,0.73236,0.0,0.0
0.31744,0.01768,0.01059,0.92666,0.00074,1.90342,0.95,4.09237,0.31952,1.33696,0.0157,0.74911,0.32506,0.0,0.16316,0.42485,0.0,0.0,0.0,0.43486,0.0,0.9005,0.0,0.0
0.29418,0.02083,0.01059,0.92602,0.00083,1.90342,0.95,4.30303,0.30648,1.38925,0.01732,0.8527,0.30017,0.0,0.17562,0.46013,0.0,0.0,0.0,0.39113,0.0,0.85925,0.0,0.0
0.32846,0.01649,0.01098,0.91377,0.00052,1.66787,0.8529,4.16667,0.31952,1.21719,0.01479,0.70835,0.33975,0.0,0.14444,0.42485,0.0,0.0,0.0,0.38671,0.0,0.9005,0.0,0.0
0.2805,0.02298,0.01039,0.90502,0.00074,1.84366,0.95,4.55989,0.26996,1.33696,0.01622,0.9,0.29534,0.0,0.21353,0.31897,0.0,0.0,0.0,0.61364,0.0,1.0,0.0,0.0
0.29881,0.01768,0.00968,0.94124,0.00074,1.83057,0.95,4.20501,0.29662,1.35945,0.01586,0.7452,0.32506,0.0,0.16761,0.42485,0.0,0.0,0.0,0.44167,0.0,0.92276,0.0,0.0
0.30365,0.0203,0.01059,0.92666,0.0007,2.20113,0.95,4.05033,0.31952,1.33117,0.0146,0.78702,0.32499,0.0,0.16316,0.38863,0.0,0.0,0.0,0.44849,0.0,0.88177,0.0,0.0
0.31622,0.01768,0.01059,0.92666,0.00074,1.90342,0.95,4.09237,0.31951,1.33588,0.01572,0.74911,0.32504,0.0,0.16316,0.42517,0.0,0.0,0.0,0.43492,0.0,0.9004,0.0,0.0
0.31692,0.01768,0.01059,0.92666,0.00074,1.90363,0.94989,4.09183,0.31946,1.33689,0.0157,0.74924,0.32501,0.0,0.16322,0.42485,0.0,0.0,0.0,0.43488,0.0,0.90055,0.0,0.0
0.31557,0.01818,0.01109,0.93181,0.00074,1.84533,0.905,4.09183,0.31946,1.38102,0.01569,0.77646,0.30982,0.0,0.18012,0.47262,0.0,0.0,0.0,0.52505,0.0,0.95903,0.0,0.0
0.3356,0.01355,0.01302,0.91377,0.0005,1.617,0.77263,4.16667,0.31152,1.1675,0.01376,0.68285,0.36039,0.0,0.14759,0.4819,0.0,0.0,0.0,0.38671,0.0,0.9005,0.0,0.0
0.31238,0.0148,0.01302,0.9282,0.00055,1.617,0.64373,4.28537,0.28836,1.10183,0.0142,0.63717,0.35731,0.0,0.14571,0.42503,0.0,0.0,0.0,0.31831,0.0,0.9005,0.0,0.0
0.31249,0.01433,0.01222,0.91964,0.00045,1.65105,0.77263,4.64459,0.30844,1.21485,0.01376,0.62297,0.36039,0.0,0.16147,0.4819,0.0,0.0,0.0,0.36899,0.0,0.83194,0.0,0.0
0.31992,0.01674,0.01059,0.95565,0.00074,2.49304,0.83155,3.79462,0.31952,1.18584,0.01887,0.85023,0.36641,0.0,0.10746,0.27132,0.0,0.0,0.0,0.37473,0.0,0.9005,0.0,0.0
0.30122,0.01821,0.0103,0.93798,0.00073,2.6031,0.83155,3.44889,0.31952,1.27354,0.01906,0.89913,0.34034,0.0,0.11321,0.24654,0.0,0.0,0.0,0.39899,0.0,0.78448,0.0,0.0
0.34167,0.01308,0.01353,0.91377,0.00052,1.40573,0.79233,3.87925,0.31152,1.1675,0.01376,0.68285,0.43149,0.0,0.14759,0.45177,0.0,0.0,0.0,0.38671,0.0,1.0,0.0,0.0
0.32556,0.01337,0.01293,0.91222,0.00048,1.48438,0.76536,4.45624,0.29409,1.18634,0.0142,0.70921,0.35312,0.0,0.15349,0.49509,0.0,0.0,0.0,0.38671,0.0,0.91557,0.0,0.0
0.34614,0.01231,0.0139,0.96684,0.00056,1.48555,0.85257,4.48611,0.37125,1.14757,0.0095,0.70921,0.35504,0.0,0.14202,0.46551,0.0,0.0,0.0,0.38671,0.0,1.0,0.0,0.0
0.33086,0.01263,0.0139,0.96764,0.00056,1.40128,0.82329,4.46566,0.37517,1.11596,0.00958,0.74994,0.35532,0.0,0.14417,0.46205,0.0,0.0,0.0,0.41017,0.0,0.9889,0.0,0.0
0.34032,0.0127,0.0139,0.96927,0.00056,1.46751,0.85831,4.53917,0.37478,1.14757,0.0095,0.71095,0.35204,0.0,0.14202,0.4712,0.0,0.0,0.0,0.38671,0.0,1.0,0.0,0.0
0.34895,0.01219,0.0141,0.96483,0.00056,1.4852,0.85854,4.49949,0.36988,1.14314,0.00956,0.7129,0.35937,0.0,0.14272,0.46581,0.0,0.0,0.0,0.39769,0.0,1.0,0.0,0.0
0.34177,0.0127,0.0155,0.98,0.0005,1.46751,0.73784,4.53917,0.42856,1.10596,0.0101,0.769,0.28291,0.0,0.14444,0.59399,0.0,0.0,0.0,0.37833,0.0,1.0,0.0,0.0
0.28873,0.01321,0.0185,0.91377,0.00049,1.46085,0.95,3.39775,0.29027,1.1675,0.01376,0.40104,0.36183,0.0,0.15386,0.5412,0.0,0.0,0.0,0.2876,0.0,0.42587,0.0,0.0
0.32461,0.01295,0.0155,0.98,0.00062,1.51923,0.82388,4.62303,0.34872,1.04355,0.0101,0.84039,0.28291,0.0,0.14444,0.50376,0.0,0.0,0.0,0.38247,0.0,1.0,0.0,0.0
0.30801,0.01025,0.01663,0.96684,0.00056,1.4452,0.78854,5.03681,0.24646,1.0387,0.00726,0.7818,0.43806,0.0,0.1539,0.4356,0.0,0.0,0.0,0.28439,0.0,0.94654,0.0,0.0
0.3544,0.01138,0.01569,0.98,0.00052,1.53323,0.71257,4.29702,0.41062,1.10596,0.00997,0.769,0.27963,0.0,0.1573,0.53604,0.0,0.0,0.0,0.37833,0.0,0.9954,0.0,0.0
0.36949,0.01198,0.01502,0.92484,0.00055,1.5028,0.90234,4.58919,0.41019,1.14314,0.00929,0.64281,0.35937,0.0,0.15957,0.45197,0.0,0.0,0.0,0.39921,0.0,1.0,0.0,0.0
0.37967,0.00869,0.01244,0.98,0.00067,1.74777,0.70143,4.60182,0.42985,1.13722,0.00997,0.82626,0.29947,0.0,0.17128,0.44849,0.0,0.0,0.0,0.37833,0.0,0.9954,0.0,0.0
0.36143,0.01138,0.01554,0.9775,0.00052,1.5233,0.71257,4.29702,0.41471,1.10693,0.01,0.76614,0.28085,0.0,0.15923,0.53604,0.0,0.0,0.0,0.38281,0.0,0.97918,0.0,0.0
0.39054,0.00873,0.01244,0.97742,0.00067,1.76203,0.70143,4.60797,0.42985,1.13722,0.01005,0.82032,0.30443,0.0,0.17333,0.44121,0.0,0.0,0.0,0.37833,0.0,0.986,0.0,0.0
0.38282,0.00878,0.01239,0.97742,0.00068,1.76203,0.70151,4.65136,0.42985,1.14203,0.01001,0.82032,0.29974,0.0,0.1723,0.4364,0.0,0.0,0.0,0.36932,0.0,0.97603,0.0,0.0
0.38866,0.00819,0.01205,0.97896,0.00069,1.64168,0.70676,4.74129,0.42985,1.10653,0.01044,0.82626,0.29287,0.0,0.17128,0.44849,0.0,0.0,0.0,0.37223,0.0,0.98187,0.0,0.0
0.38159,0.01078,0.0128,0.94406,0.00055,1.65798,0.49658,4.16885,0.44981,1.11786,0.01001,0.71697,0.29189,0.0,0.18744,0.44573,0.0,0.0,0.0,0.37431,0.0,1.0,0.0,0.0
0.39693,0.00819,0.01215,0.91278,0.00083,1.43947,0.70676,4.46865,0.39296,1.10653,0.01159,0.84253,0.26843,0.0,0.17128,0.51913,0.0,0.0,0.0,0.35247,0.0,0.98187,0.0,0.0
0.38067,0.00808,0.01338,0.96155,0.00083,1.46359,0.77564,4.46865,0.39711,1.05917,0.01181,0.9,0.30804,0.0,0.1967,0.51913,0.0,0.0,0.0,0.31265,0.0,1.0,0.0,0.0
0.38338,0.00933,0.01198,0.9259,0.00084,1.86116,0.68171,4.0329,0.42812,1.10653,0.0117,0.9,0.37165,0.0,0.17128,0.51913,0.0,0.0,0.0,0.31806,0.0,1.0,0.0,0.0
0.41425,0.00657,0.01205,0.9394,0.00057,1.69258,0.70676,4.34012,0.40155,1.13865,0.00933,0.82626,0.30072,0.0,0.18538,0.43824,0.0,0.0,0.0,0.34134,0.0,0.9404,0.0,0.0
0.39703,0.00964,0.01148,0.93599,0.00054,1.76203,0.70143,3.04135,0.42985,1.09208,0.01005,0.82032,0.31073,0.0,0.19715,0.44121,0.0,0.0,0.0,0.44361,0.0,0.986,0.0,0.0
0.3814,0.00761,0.0129,0.89593,0.00049,1.32013,0.74395,4.87654,0.28477,0.83217,0.01013,0.77229,0.30072,0.0,0.17136,0.51233,0.0,0.0,0.0,0.34134,0.0,0.95596,0.0,0.0
0.38327,0.00769,0.01399,0.98,0.00077,2.24384,0.71563,4.7069,0.38086,1.13722,0.00913,0.85317,0.35712,0.0,0.17333,0.40213,0.0,0.0,0.0,0.37833,0.0,0.82161,0.0,0.0
0.3929,0.00801,0.01199,0.90891,0.00083,1.41869,0.71342,4.46865,0.38383,1.10653,0.01131,0.8453,0.26119,0.0,0.17296,0.51913,0.0,0.0,0.0,0.35247,0.0,0.99465,0.0,0.0
0.35429,0.01068,0.00771,0.94996,0.00042,1.423,0.58051,4.13916,0.42985,1.31987,0.00926,0.88916,0.31073,0.0,0.19715,0.41476,0.0,0.0,0.0,0.4218,0.0,0.97775,0.0,0.0
0.39734,0.00904,0.01143,0.92226,0.00054,1.59162,0.6421,3.22748,0.42985,1.09208,0.01102,0.70818,0.35205,0.0,0.19715,0.41582,0.0,0.0,0.0,0.44101,0.0,0.83541,0.0,0.0
0.41126,0.0069,0.01208,0.9357,0.00057,1.60816,0.72363,4.34012,0.39442,1.13865,0.00933,0.82626,0.30818,0.0,0.18582,0.40854,0.0,0.0,0.0,0.35026,0.0,0.95643,0.0,0.0
0.40143,0.00689,0.01182,0.9385,0.00056,1.58489,0.72622,4.37723,0.40196,1.13865,0.00876,0.84434,0.3051,0.0,0.18669,0.40854,0.0,0.0,0.0,0.36024,0.0,0.93795,0.0,0.0
0.41734,0.00632,0.01153,0.86937,0.00052,1.60816,0.72363,4.12206,0.41788,1.29199,0.00933,0.82626,0.32754,0.0,0.16932,0.40854,0.0,0.0,0.0,0.36677,0.0,0.95643,0.0,0.0
0.41736,0.00677,0.01121,0.86015,0.00052,1.64168,0.68894,4.58644,0.4014,1.00249,0.00906,0.83881,0.32469,0.0,0.16932,0.43837,0.0,0.0,0.0,0.36677,0.0,0.85048,0.0,0.0
0.4265,0.00548,0.0121,0.90551,0.00047,1.54785,0.72363,4.12206,0.47036,1.26199,0.00962,0.84173,0.32754,0.0,0.16932,0.4172,0.0,0.0,0.0,0.32251,0.0,0.87684,0.0,0.0
0.41525,0.00655,0.01182,0.94089,0.00057,1.6111,0.72456,4.28611,0.44783,1.13865,0.00933,0.81779,0.3189,0.0,0.19114,0.45131,0.0,0.0,0.0,0.3295,0.0,0.87923,0.0,0.0
0.43189,0.00444,0.0155,0.90551,0.00047,1.509,0.6656,5.19699,0.53422,1.20133,0.00962,0.9,0.36268,0.0,0.17766,0.36142,0.0,0.0,0.0,0.20475,0.0,0.94433,0.0,0.0
0.39866,0.00501,0.0155,0.91286,0.00044,1.09742,0.6656,5.94209,0.32044,1.01139,0.01125,0.8181,0.31382,0.0,0.14597,0.34562,0.0,0.0,0.0,0.2019,0.0,1.0,0.0,0.0
0.42741,0.00568,0.0121,0.91701,0.00043,1.63295,0.67093,4.25633,0.47938,1.26199,0.00983,0.84356,0.31334,0.0,0.17258,0.41638,0.0,0.0,0.0,0.3286,0.0,0.90703,0.0,0.0
0.39785,0.00548,0.01193,0.90551,0.00049,1.19035,0.7709,4.29439,0.43335,1.4695,0.0087,0.9,0.35977,0.0,0.23053,0.4172,0.0,0.0,0.0,0.32251,0.0,0.71635,0.0,0.0
0.41821,0.00568,0.01192,0.91701,0.00043,1.63295,0.68195,4.26411,0.47435,1.23903,0.00995,0.83498,0.31334,0.0,0.17284,0.41638,0.0,0.0,0.0,0.3302,0.0,0.90193,0.0,0.0
0.42188,0.00569,0.01151,0.86996,0.00048,1.44639,0.73334,4.12206,0.41527,1.1021,0.0081,0.84173,0.31095,0.0,0.16932,0.49853,0.0,0.0,0.0,0.27991,0.0,0.90761,0.0,0.0
0.42858,0.00601,0.0125,0.93714,0.00047,1.902,0.67093,3.48157,0.52027,0.98256,0.01032,0.84356,0.34676,0.0,0.16604,0.38386,0.0,0.0,0.0,0.3286,0.0,0.97876,0.0,0.0
0.42891,0.00604,0.01232,0.88697,0.00048,1.80914,0.65357,4.25441,0.48389,1.2598,0.00998,0.87162,0.34043,0.0,0.16652,0.41638,0.0,0.0,0.0,0.34673,0.0,0.91419,0.0,0.0
0.42697,0.00608,0.01232,0.90366,0.00048,1.23788,0.5954,4.25441,0.55606,1.32315,0.01138,0.74021,0.34477,0.0,0.16714,0.44169,0.0,0.0,0.0,0.32697,0.0,1.0,0.0,0.0
0.42031,0.00646,0.01265,0.88697,0.00048,1.76016,0.70965,3.26284,0.43935,1.25624,0.01112,0.80112,0.30076,0.0,0.16207,0.41638,0.0,0.0,0.0,0.31287,0.0,0.91419,0.0,0.0
0.43757,0.00444,0.0155,0.85489,0.00048,1.509,0.72177,5.19699,0.54271,1.27653,0.00941,0.9,0.41855,0.0,0.17766,0.36142,0.0,0.0,0.0,0.20668,0.0,0.94433,0.0,0.0
0.43502,0.00446,0.016,0.85489,0.00051,1.52604,0.7153,5.13371,0.54271,1.27653,0.00941,0.9,0.38702,0.0,0.18029,0.33845,0.0,0.0,0.0,0.20668,0.0,0.95277,0.0,0.0
0.44033,0.00455,0.01524,0.84565,0.00048,1.52344,0.68626,5.16476,0.49575,1.27595,0.00855,0.85454,0.41841,0.0,0.17591,0.36142,0.0,0.0,0.0,0.20558,0.0,0.94433,0.0,0.0
0.44184,0.00461,0.01512,0.85606,0.00048,1.56703,0.68232,5.2368,0.52128,1.29337,0.00839,0.84804,0.41463,0.0,0.17641,0.3627,0.0,0.0,0.0,0.20861,0.0,0.9701,0.0,0.0
0.42302,0.00447,0.01497,0.84125,0.00046,1.58144,0.71019,5.29158,0.49987,1.27595,0.00858,0.85996,0.42891,0.0,0.17591,0.35487,0.0,0.0,0.0,0.20306,0.0,0.93918,0.0,0.0
0.42923,0.00461,0.01503,0.85606,0.00048,1.56888,0.68433,5.23471,0.52208,1.29337,0.00839,0.84766,0.41463,0.0,0.17761,0.36328,0.0,0.0,0.0,0.20823,0.0,0.97141,0.0,0.0
0.43436,0.00461,0.01659,0.86368,0.00049,1.60801,0.67509,5.24865,0.52128,1.35033,0.00859,0.87316,0.46073,0.0,0.15908,0.38096,0.0,0.0,0.0,0.22082,0.0,0.96327,0.0,0.0
0.42962,0.00451,0.01543,0.83877,0.00046,1.65828,0.62587,4.99122,0.52468,1.19407,0.00839,0.84804,0.42808,0.0,0.19162,0.37058,0.0,0.0,0.0,0.20292,0.0,0.91548,0.0,0.0
0.41859,0.00426,0.0156,0.86526,0.00047,1.56703,0.65377,5.83894,0.59659,1.21854,0.00816,0.9,0.38721,0.0,0.18543,0.27944,0.0,0.0,0.0,0.20328,0.0,0.87126,0.0,0.0
0.42689,0.00453,0.01494,0.87289,0.00049,1.5622,0.68232,5.2368,0.52832,1.29367,0.00866,0.83729,0.44857,0.0,0.18356,0.3728,0.0,0.0,0.0,0.2201,0.0,0.99635,0.0,0.0
0.43234,0.00458,0.01322,0.86238,0.00054,1.56703,0.76915,5.32949,0.52128,1.29337,0.00839,0.86303,0.37117,0.0,0.18763,0.34416,0.0,0.0,0.0,0.25451,0.0,0.86179,0.0,0.0
0.442,0.00437,0.01503,0.83871,0.00047,1.56703,0.68232,4.12008,0.52128,1.35151,0.00839,0.82462,0.41357,0.0,0.1771,0.35571,0.0,0.0,0.0,0.21115,0.0,1.0,0.0,0.0
0.44184,0.00451,0.01525,0.85606,0.00048,1.52969,0.67374,5.16192,0.52441,1.32203,0.00851,0.86476,0.41683,0.0,0.17575,0.36705,0.0,0.0,0.0,0.21055,0.0,0.95434,0.0,0.0
0.42753,0.00505,0.01248,0.85606,0.0004,1.52969,0.70003,4.07469,0.52441,1.41364,0.0081,0.9,0.48246,0.0,0.10447,0.33025,0.0,0.0,0.0,0.2414,0.0,1.0,0.0,0.0
0.44798,0.00437,0.01503,0.86659,0.00045,1.55955,0.66861,4.12008,0.54864,1.29254,0.00808,0.87513,0.42823,0.0,0.17789,0.35571,0.0,0.0,0.0,0.22032,0.0,0.99392,0.0,0.0
0.43728,0.00437,0.01165,0.85697,0.00052,1.55955,0.73311,4.07756,0.48273,1.31509,0.00851,0.87513,0.41186,0.0,0.19171,0.35571,0.0,0.0,0.0,0.22031,0.0,0.89721,0.0,0.0
0.4284,0.00459,0.01512,0.85507,0.00048,1.56328,0.68028,5.23708,0.51696,1.29162,0.00839,0.84782,0.41463,0.0,0.17641,0.36273,0.0,0.0,0.0,0.20805,0.0,0.96689,0.0,0.0
0.44462,0.00418,0.01531,0.88444,0.00045,1.55955,0.68172,4.19977,0.56175,1.27232,0.0082,0.88939,0.42823,0.0,0.18166,0.35346,0.0,0.0,0.0,0.21052,0.0,1.0,0.0,0.0
0.44496,0.00406,0.01504,0.88556,0.00044,1.56856,0.68172,4.58507,0.53766,1.27232,0.0082,0.89829,0.42823,0.0,0.18166,0.35346,0.0,0.0,0.0,0.21895,0.0,1.0,0.0,0.0
0.44477,0.00447,0.01529,0.86659,0.0004,1.61521,0.64126,3.74918,0.54864,1.38321,0.00765,0.9,0.42823,0.0,0.16023,0.35571,0.0,0.0,0.0,0.20974,0.0,0.99392,0.0,0.0
0.44595,0.00437,0.0159,0.86659,0.00045,1.85059,0.67443,4.31504,0.5905,1.43026,0.00877,0.9,0.42823,0.0,0.22367,0.39322,0.0,0.0,0.0,0.20941,0.0,1.0,0.0,0.0
0.44406,0.00435,0.01534,0.86394,0.00045,1.55955,0.66861,4.12008,0.55573,1.22492,0.00805,0.84806,0.42129,0.0,0.16792,0.35626,0.0,0.0,0.0,0.23105,0.0,0.99392,0.0,0.0
0.43603,0.00451,0.01398,0.82601,0.00052,1.45875,0.62759,4.12008,0.41474,1.17732,0.00785,0.9,0.34695,0.0,0.19455,0.38363,0.0,0.0,0.0,0.2502,0.0,0.98456,0.0,0.0
0.45777,0.00287,0.01503,0.90082,0.00048,1.68385,0.66861,3.99669,0.5219,1.26351,0.00788,0.87513,0.42671,0.0,0.13484,0.32567,0.0,0.0,0.0,0.19452,0.0,1.0,0.0,0.0
0.45158,0.00414,0.0182,0.87019,0.00038,1.68561,0.73909,4.68064,0.57629,1.05955,0.01125,0.88835,0.44255,0.0,0.23648,0.39322,0.0,0.0,0.0,0.21442,0.0,1.0,0.0,0.0
0.44967,0.00293,0.01567,0.92176,0.0005,1.45745,0.62554,3.99669,0.5219,1.19649,0.00788,0.8768,0.48407,0.0,0.12988,0.31038,0.0,0.0,0.0,0.19225,0.0,0.83941,0.0,0.0
0.45453,0.00302,0.01491,0.89867,0.00049,1.74939,0.63723,3.99669,0.5219,1.28804,0.00755,0.9,0.42393,0.0,0.1348,0.34252,0.0,0.0,0.0,0.19913,0.0,0.97481,0.0,0.0
0.46231,0.00271,0.01562,0.90082,0.00044,1.68613,0.63999,3.99669,0.53439,1.23291,0.00819,0.87793,0.42671,0.0,0.13484,0.34969,0.0,0.0,0.0,0.19497,0.0,1.0,0.0,0.0
0.46678,0.00272,0.01382,0.90561,0.00046,1.82833,0.69106,3.98624,0.44678,1.22778,0.00808,0.89429,0.39713,0.0,0.14249,0.32567,0.0,0.0,0.0,0.19939,0.0,1.0,0.0,0.0
